,precision,recall,f1-score,support
art,0.48148148148148145,0.39,0.430939226519337,100.0
gaming,0.6081081081081081,0.4945054945054945,0.5454545454545454,91.0
memberships,0.43558282208588955,0.7029702970297029,0.5378787878787878,101.0
music,0.9375,0.7978723404255319,0.8620689655172413,94.0
pfps,0.41025641025641024,0.48,0.4423963133640553,100.0
photography,0.8095238095238095,0.6938775510204082,0.7472527472527473,98.0
virtual-worlds,0.5875,0.49473684210526314,0.5371428571428571,95.0
accuracy,0.5787923416789397,0.5787923416789397,0.5787923416789397,0.5787923416789397
macro avg,0.6099932330650999,0.5791375035837715,0.5861619204470816,679.0
weighted avg,0.6064452509214068,0.5787923416789397,0.584078790306954,679.0
