,precision,recall,f1-score,support
art,0.4666666666666667,0.35,0.4,20.0
gaming,0.6,0.3333333333333333,0.42857142857142855,18.0
memberships,0.32432432432432434,0.6,0.42105263157894735,20.0
music,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
pfps,0.36363636363636365,0.4,0.38095238095238093,20.0
photography,0.7272727272727273,0.8,0.7619047619047619,20.0
virtual-worlds,0.5384615384615384,0.3684210526315789,0.4375,19.0
accuracy,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824
macro avg,0.5659340129928365,0.5276942355889724,0.531267155985201,136.0
weighted avg,0.5628759103672598,0.5294117647058824,0.5308372800874737,136.0
