,precision,recall,f1-score,support
art,0.6666666666666666,0.4,0.5,10.0
gaming,0.7142857142857143,0.5555555555555556,0.625,9.0
memberships,0.4666666666666667,0.7,0.56,10.0
music,1.0,0.8,0.8888888888888888,10.0
pfps,0.375,0.6,0.46153846153846156,10.0
photography,0.6666666666666666,0.6,0.631578947368421,10.0
virtual-worlds,0.8571428571428571,0.6666666666666666,0.75,9.0
accuracy,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294
macro avg,0.6780612244897959,0.6174603174603176,0.6310008996851103,68.0
weighted avg,0.6748949579831933,0.6176470588235294,0.6293391614405547,68.0
