,precision,recall,f1-score,support
art,0.5176470588235295,0.44,0.4756756756756757,100.0
gaming,0.6219512195121951,0.5604395604395604,0.5895953757225434,91.0
memberships,0.41509433962264153,0.6534653465346535,0.5076923076923077,101.0
music,0.9125,0.776595744680851,0.8390804597701149,94.0
pfps,0.43103448275862066,0.5,0.46296296296296297,100.0
photography,0.8571428571428571,0.673469387755102,0.7542857142857143,98.0
virtual-worlds,0.6,0.5052631578947369,0.5485714285714286,95.0
accuracy,0.5861561119293078,0.5861561119293078,0.5861561119293078,0.5861561119293078
macro avg,0.6221957082656919,0.5870333139007006,0.5968377035258211,679.0
weighted avg,0.6188000639701201,0.5861561119293078,0.5945534831579012,679.0
