,precision,recall,f1-score,support
art,0.5384615384615384,0.7,0.6086956521739131,10.0
gaming,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
memberships,0.5,0.9,0.6428571428571429,10.0
music,1.0,0.6,0.75,10.0
pfps,0.38461538461538464,0.5,0.43478260869565216,10.0
photography,0.8,0.4,0.5333333333333333,10.0
virtual-worlds,0.7142857142857143,0.5555555555555556,0.625,9.0
accuracy,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.6029411764705882
macro avg,0.68152799581371,0.6015873015873016,0.6087622005323868,68.0
weighted avg,0.6788138332255979,0.6029411764705882,0.6076718730970649,68.0
