,precision,recall,f1-score,support
art,0.5256410256410257,0.41,0.4606741573033708,100.0
gaming,0.6533333333333333,0.5384615384615384,0.5903614457831325,91.0
memberships,0.4507042253521127,0.6336633663366337,0.5267489711934157,101.0
music,0.9285714285714286,0.6914893617021277,0.7926829268292683,94.0
pfps,0.4180327868852459,0.51,0.4594594594594595,100.0
photography,0.6808510638297872,0.6530612244897959,0.6666666666666666,98.0
virtual-worlds,0.5612244897959183,0.5789473684210527,0.5699481865284974,95.0
accuracy,0.572901325478645,0.572901325478645,0.572901325478645,0.572901325478645
macro avg,0.6026226219155503,0.573660408487307,0.5809345448234016,679.0
weighted avg,0.5989208931048152,0.572901325478645,0.5786870478771353,679.0
