,precision,recall,f1-score,support
art,0.42857142857142855,0.3,0.35294117647058826,10.0
gaming,0.75,0.6,0.6666666666666666,10.0
memberships,0.6428571428571429,0.9,0.75,10.0
music,1.0,0.7777777777777778,0.875,9.0
pfps,0.5,0.6,0.5454545454545454,10.0
photography,0.6,0.6666666666666666,0.631578947368421,9.0
virtual-worlds,0.6,0.6,0.6,10.0
accuracy,0.6323529411764706,0.6323529411764706,0.6323529411764706,0.6323529411764706
macro avg,0.6459183673469387,0.6349206349206348,0.6316630479943173,68.0
weighted avg,0.6413865546218487,0.6323529411764706,0.6280858001799087,68.0
