,precision,recall,f1-score,support
art,0.45,0.45,0.45,20.0
gaming,0.6521739130434783,0.8333333333333334,0.7317073170731707,18.0
memberships,0.4117647058823529,0.7,0.5185185185185185,20.0
music,0.8571428571428571,0.631578947368421,0.7272727272727273,19.0
pfps,0.42857142857142855,0.45,0.43902439024390244,20.0
photography,0.8461538461538461,0.5789473684210527,0.6875,19.0
virtual-worlds,0.7,0.3684210526315789,0.4827586206896552,19.0
accuracy,0.5703703703703704,0.5703703703703704,0.5703703703703704,0.5703703703703704
macro avg,0.620829535827709,0.5731829573934838,0.5766830819711392,135.0
weighted avg,0.6163591887888562,0.5703703703703704,0.5731458184729685,135.0
