,precision,recall,f1-score,support
art,0.5,0.5,0.5,10.0
gaming,0.6666666666666666,0.8888888888888888,0.7619047619047619,9.0
memberships,0.4,0.6,0.48,10.0
music,0.8571428571428571,0.6666666666666666,0.75,9.0
pfps,0.45454545454545453,0.5,0.47619047619047616,10.0
photography,0.875,0.7777777777777778,0.8235294117647058,9.0
virtual-worlds,0.75,0.3,0.42857142857142855,10.0
accuracy,0.5970149253731343,0.5970149253731343,0.5970149253731343,0.5970149253731343
macro avg,0.6433364254792826,0.6047619047619047,0.6028851540616247,67.0
weighted avg,0.6363394068617949,0.5970149253731343,0.5950227852334964,67.0
