,precision,recall,f1-score,support
art,0.4666666666666667,0.42,0.4421052631578947,100.0
gaming,0.7027027027027027,0.5714285714285714,0.6303030303030303,91.0
memberships,0.43790849673202614,0.6633663366336634,0.5275590551181102,101.0
music,0.9420289855072463,0.6914893617021277,0.7975460122699386,94.0
pfps,0.4083333333333333,0.49,0.44545454545454544,100.0
photography,0.6597938144329897,0.6530612244897959,0.6564102564102564,98.0
virtual-worlds,0.631578947368421,0.5052631578947369,0.5614035087719298,95.0
accuracy,0.5699558173784978,0.5699558173784978,0.5699558173784978,0.5699558173784978
macro avg,0.6070018495347693,0.5706583788784135,0.5801116673551007,679.0
weighted avg,0.602187367552275,0.5699558173784978,0.5773606550819759,679.0
