,precision,recall,f1-score,support
art,0.5714285714285714,0.6,0.5853658536585366,20.0
gaming,0.8333333333333334,0.5555555555555556,0.6666666666666666,18.0
memberships,0.4444444444444444,0.7619047619047619,0.5614035087719298,21.0
music,1.0,0.7222222222222222,0.8387096774193549,18.0
pfps,0.36363636363636365,0.4,0.38095238095238093,20.0
photography,0.7058823529411765,0.6,0.6486486486486487,20.0
virtual-worlds,0.8,0.631578947368421,0.7058823529411765,19.0
accuracy,0.6102941176470589,0.6102941176470589,0.6102941176470589,0.6102941176470589
macro avg,0.67410358082627,0.6101802124358515,0.6268041555798135,136.0
weighted avg,0.6643549933342321,0.6102941176470589,0.6220393400649454,136.0
