,precision,recall,f1-score,support
art,0.5172413793103449,0.45,0.48128342245989303,100.0
gaming,0.6712328767123288,0.5384615384615384,0.5975609756097561,91.0
memberships,0.4657534246575342,0.6732673267326733,0.5506072874493927,101.0
music,0.9444444444444444,0.723404255319149,0.8192771084337349,94.0
pfps,0.4032258064516129,0.5,0.44642857142857145,100.0
photography,0.6666666666666666,0.673469387755102,0.6700507614213198,98.0
virtual-worlds,0.6282051282051282,0.5157894736842106,0.5664739884393064,95.0
accuracy,0.5817378497790869,0.5817378497790869,0.5817378497790869,0.5817378497790869
macro avg,0.6138242466354372,0.5820559974218105,0.590240302177425,679.0
weighted avg,0.6096621569043107,0.5817378497790869,0.5880009365471538,679.0
