,precision,recall,f1-score,support
art,0.5714285714285714,0.4,0.47058823529411764,20.0
gaming,0.8461538461538461,0.5789473684210527,0.6875,19.0
memberships,0.5714285714285714,0.6,0.5853658536585366,20.0
music,0.8823529411764706,0.7894736842105263,0.8333333333333334,19.0
pfps,0.47058823529411764,0.8,0.5925925925925926,20.0
photography,0.75,0.7894736842105263,0.7692307692307693,19.0
virtual-worlds,0.6470588235294118,0.5789473684210527,0.6111111111111112,19.0
accuracy,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
macro avg,0.6770015698587127,0.6481203007518798,0.6499602707457802,136.0
weighted avg,0.6739312806570591,0.6470588235294118,0.6477445786083383,136.0
