,precision,recall,f1-score,support
art,0.45454545454545453,0.5,0.47619047619047616,10.0
gaming,0.5,0.7777777777777778,0.6086956521739131,9.0
memberships,0.3,0.3,0.3,10.0
music,0.8571428571428571,0.6666666666666666,0.75,9.0
pfps,0.46153846153846156,0.6,0.5217391304347826,10.0
photography,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
virtual-worlds,0.6666666666666666,0.2,0.3076923076923077,10.0
accuracy,0.5373134328358209,0.5373134328358209,0.5373134328358209,0.5373134328358209
macro avg,0.5739530310958882,0.5460317460317461,0.5345850491813225,67.0
weighted avg,0.5677879334595752,0.5373134328358209,0.5266340300409087,67.0
