,precision,recall,f1-score,support
art,0.42857142857142855,0.3,0.35294117647058826,20.0
gaming,0.75,0.631578947368421,0.6857142857142857,19.0
memberships,0.5,0.7,0.5833333333333334,20.0
music,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
pfps,0.44,0.55,0.4888888888888889,20.0
photography,0.8,0.631578947368421,0.7058823529411765,19.0
virtual-worlds,0.42857142857142855,0.47368421052631576,0.45,19.0
accuracy,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471
macro avg,0.6126170468187275,0.5898496240601504,0.5936641323195946,136.0
weighted avg,0.6091664607019278,0.5882352941176471,0.5910477426264623,136.0
