,precision,recall,f1-score,support
art,0.5466666666666666,0.41,0.4685714285714286,100.0
gaming,0.524390243902439,0.4725274725274725,0.49710982658959535,91.0
memberships,0.4049079754601227,0.6534653465346535,0.5,101.0
music,0.9466666666666667,0.7553191489361702,0.8402366863905325,94.0
pfps,0.5,0.6,0.5454545454545454,100.0
photography,0.863013698630137,0.6428571428571429,0.7368421052631579,98.0
virtual-worlds,0.5604395604395604,0.5368421052631579,0.5483870967741935,95.0
accuracy,0.5817378497790869,0.5817378497790869,0.5817378497790869,0.5817378497790869
macro avg,0.6208692588236561,0.5815730308740853,0.590943098434779,679.0
weighted avg,0.6186828450035925,0.5817378497790869,0.589733638663179,679.0
