,precision,recall,f1-score,support
art,0.625,0.5,0.5555555555555556,10.0
gaming,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.0
memberships,0.26666666666666666,0.4,0.32,10.0
music,1.0,0.8888888888888888,0.9411764705882353,9.0
pfps,0.5,0.5,0.5,10.0
photography,0.8888888888888888,0.8,0.8421052631578947,10.0
virtual-worlds,0.4444444444444444,0.4,0.42105263157894735,10.0
accuracy,0.5441176470588235,0.5441176470588235,0.5441176470588235,0.5441176470588235
macro avg,0.5797619047619047,0.5460317460317461,0.5590318934591381,68.0
weighted avg,0.5772058823529411,0.5441176470588235,0.5567312167385013,68.0
