,precision,recall,f1-score,support
art,0.8,0.4,0.5333333333333333,10.0
gaming,0.7142857142857143,0.5555555555555556,0.625,9.0
memberships,0.47058823529411764,0.8,0.5925925925925926,10.0
music,1.0,0.8,0.8888888888888888,10.0
pfps,0.3333333333333333,0.5,0.4,10.0
photography,0.625,0.5,0.5555555555555556,10.0
virtual-worlds,0.75,0.6666666666666666,0.7058823529411765,9.0
accuracy,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.6029411764705882
macro avg,0.6704581832733094,0.6031746031746031,0.6144646747587924,68.0
weighted avg,0.6686439281594991,0.6029411764705882,0.612965365884916,68.0
