,precision,recall,f1-score,support
art,0.625,0.5,0.5555555555555556,10.0
gaming,0.625,0.5555555555555556,0.5882352941176471,9.0
memberships,0.5,0.8,0.6153846153846154,10.0
music,0.8888888888888888,0.8,0.8421052631578947,10.0
pfps,0.42857142857142855,0.6,0.5,10.0
photography,1.0,0.6,0.75,10.0
virtual-worlds,0.8571428571428571,0.6666666666666666,0.75,9.0
accuracy,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
macro avg,0.7035147392290249,0.6460317460317462,0.6573258183165304,68.0
weighted avg,0.7024101307189543,0.6470588235294118,0.65697899982411,68.0
