,precision,recall,f1-score,support
art,0.5857142857142857,0.41,0.4823529411764706,100.0
gaming,0.5232558139534884,0.4945054945054945,0.5084745762711864,91.0
memberships,0.46938775510204084,0.6831683168316832,0.5564516129032258,101.0
music,0.922077922077922,0.7553191489361702,0.8304093567251462,94.0
pfps,0.4264705882352941,0.58,0.4915254237288136,100.0
photography,0.8235294117647058,0.7142857142857143,0.7650273224043715,98.0
virtual-worlds,0.6282051282051282,0.5157894736842106,0.5664739884393064,95.0
accuracy,0.593519882179676,0.593519882179676,0.593519882179676,0.593519882179676
macro avg,0.6255201292932665,0.593295449749039,0.6001021745212173,679.0
weighted avg,0.6234221265652202,0.593519882179676,0.5989791190927223,679.0
