,precision,recall,f1-score,support
art,0.6666666666666666,0.4,0.5,20.0
gaming,0.35714285714285715,0.2777777777777778,0.3125,18.0
memberships,0.30303030303030304,0.5,0.37735849056603776,20.0
music,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
pfps,0.36,0.45,0.4,20.0
photography,0.7619047619047619,0.8,0.7804878048780488,20.0
virtual-worlds,0.5384615384615384,0.3684210526315789,0.4375,19.0
accuracy,0.5220588235294118,0.5220588235294118,0.5220588235294118,0.5220588235294118
macro avg,0.5537278594421451,0.5197577276524645,0.5246730229012788,136.0
weighted avg,0.5542666483842954,0.5220588235294118,0.5259327819214277,136.0
