,precision,recall,f1-score,support
art,0.5189873417721519,0.41,0.4581005586592179,100.0
gaming,0.7012987012987013,0.5934065934065934,0.6428571428571429,91.0
memberships,0.45517241379310347,0.6534653465346535,0.5365853658536586,101.0
music,0.9577464788732394,0.723404255319149,0.8242424242424242,94.0
pfps,0.4247787610619469,0.48,0.4507042253521127,100.0
photography,0.6454545454545455,0.7244897959183674,0.6826923076923077,98.0
virtual-worlds,0.5833333333333334,0.5157894736842106,0.547486033519553,95.0
accuracy,0.5846833578792342,0.5846833578792342,0.5846833578792342,0.5846833578792342
macro avg,0.6123959393695745,0.5857936378375677,0.591809722596631,679.0
weighted avg,0.6080509381885004,0.5846833578792342,0.5890565649033052,679.0
