,precision,recall,f1-score,support
art,0.6666666666666666,0.6,0.631578947368421,20.0
gaming,0.6,0.5,0.5454545454545454,18.0
memberships,0.5769230769230769,0.7142857142857143,0.6382978723404256,21.0
music,1.0,0.7777777777777778,0.875,18.0
pfps,0.3076923076923077,0.4,0.34782608695652173,20.0
photography,0.7,0.7,0.7,20.0
virtual-worlds,0.7058823529411765,0.631578947368421,0.6666666666666666,19.0
accuracy,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294
macro avg,0.651023486317604,0.6176632056331305,0.629260588398083,136.0
weighted avg,0.6456935941797532,0.6176470588235294,0.6266706212536491,136.0
