,precision,recall,f1-score,support
art,0.5,0.4,0.4444444444444444,10.0
gaming,0.8,0.8888888888888888,0.8421052631578947,9.0
memberships,0.5384615384615384,0.7,0.6086956521739131,10.0
music,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
pfps,0.4666666666666667,0.7,0.56,10.0
photography,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
virtual-worlds,0.6666666666666666,0.4,0.5,10.0
accuracy,0.6268656716417911,0.6268656716417911,0.6268656716417911,0.6268656716417911
macro avg,0.6547008547008548,0.6317460317460318,0.628527114888671,67.0
weighted avg,0.6480290853425181,0.6268656716417911,0.6225425124567856,67.0
