;precision;recall;f1-score;support
art;0,4536082474226804;0,44;0,4467005076142132;100,0
gaming;0,5054945054945055;0,5054945054945055;0,5054945054945055;91,0
memberships;0,3783783783783784;0,4158415841584158;0,3962264150943396;101,0
music;0,6896551724137931;0,6382978723404256;0,6629834254143647;94,0
pfps;0,7142857142857143;0,7;0,7070707070707072;100,0
photography;0,696969696969697;0,7040816326530612;0,7005076142131981;98,0
virtual-worlds;0,3958333333333333;0,4;0,39790575916230364;95,0
accuracy;0,5434462444771723;0,5434462444771723;0,5434462444771723;0,5434462444771723
macro avg;0,5477464354711574;0,543387942092344;0,5452698477233759;679,0
weighted avg;0,5474821731423406;0,5434462444771723;0,5451652793744961;679,0
