;precision;recall;f1-score;support
art;0,5151515151515151;0,51;0,5125628140703518;100,0
gaming;0,43902439024390244;0,3956043956043956;0,4161849710982659;91,0
memberships;0,39;0,38613861386138615;0,3880597014925374;101,0
music;0,6057692307692307;0,6702127659574468;0,6363636363636364;94,0
pfps;0,6770833333333334;0,65;0,6632653061224489;100,0
photography;0,6304347826086957;0,5918367346938775;0,6105263157894736;98,0
virtual-worlds;0,36792452830188677;0,4105263157894737;0,3880597014925373;95,0
accuracy;0,5169366715758469;0,5169366715758469;0,5169366715758469;0,5169366715758469
macro avg;0,5179125400583663;0,5163312608437971;0,5164317780613217;679,0
weighted avg;0,5187664962258013;0,5169366715758469;0,5171798330593664;679,0
