;precision;recall;f1-score;support
art;0,5192307692307693;0,54;0,5294117647058824;100,0
gaming;0,4625;0,4065934065934066;0,4327485380116959;91,0
memberships;0,4519230769230769;0,46534653465346537;0,4585365853658537;101,0
music;0,6310679611650486;0,6914893617021277;0,6598984771573605;94,0
pfps;0,7156862745098039;0,73;0,7227722772277227;100,0
photography;0,65;0,6632653061224489;0,6565656565656566;98,0
virtual-worlds;0,4069767441860465;0,3684210526315789;0,38674033149171266;95,0
accuracy;0,5537555228276878;0,5537555228276878;0,5537555228276878;0,5537555228276878
macro avg;0,5481978322878207;0,5521593802432897;0,5495248043608407;679,0
weighted avg;0,5491997263482725;0,5537555228276878;0,5508467436852946;679,0
