;precision;recall;f1-score;support
art;0,46875;0,45;0,45918367346938777;100,0
gaming;0,4074074074074074;0,3626373626373626;0,3837209302325581;91,0
memberships;0,39090909090909093;0,42574257425742573;0,4075829383886256;101,0
music;0,6538461538461539;0,723404255319149;0,6868686868686869;94,0
pfps;0,6310679611650486;0,65;0,6403940886699507;100,0
photography;0,6132075471698113;0,6632653061224489;0,6372549019607843;98,0
virtual-worlds;0,43037974683544306;0,35789473684210527;0,3908045977011494;95,0
accuracy;0,5198821796759941;0,5198821796759941;0,5198821796759941;0,5198821796759941
macro avg;0,5136525581904222;0,5189920335969275;0,515115688184449;679,0
weighted avg;0,5139611817466041;0,5198821796759941;0,5157368650688813;679,0
