;precision;recall;f1-score;support
art;0,5204081632653061;0,51;0,5151515151515151;100,0
gaming;0,5;0,4725274725274725;0,4858757062146893;91,0
memberships;0,40350877192982454;0,45544554455445546;0,42790697674418604;101,0
music;0,6593406593406593;0,6382978723404256;0,6486486486486486;94,0
pfps;0,7142857142857143;0,65;0,680628272251309;100,0
photography;0,6330275229357798;0,7040816326530612;0,6666666666666666;98,0
virtual-worlds;0,4111111111111111;0,3894736842105263;0,39999999999999997;95,0
accuracy;0,5463917525773195;0,5463917525773195;0,5463917525773195;0,5463917525773195
macro avg;0,5488117061240565;0,5456894580408488;0,5464111122395735;679,0
weighted avg;0,5490339447736352;0,5463917525773195;0,5468594682817205;679,0
