;precision;recall;f1-score;support
art;0,5517241379310345;0,48;0,5133689839572193;100,0
gaming;0,5257731958762887;0,5604395604395604;0,5425531914893617;91,0
memberships;0,46875;0,44554455445544555;0,45685279187817257;101,0
music;0,6470588235294118;0,7021276595744681;0,673469387755102;94,0
pfps;0,7115384615384616;0,74;0,7254901960784313;100,0
photography;0,5686274509803921;0,5918367346938775;0,58;98,0
virtual-worlds;0,3956043956043956;0,37894736842105264;0,38709677419354843;95,0
accuracy;0,5567010309278351;0,5567010309278351;0,5567010309278351;0,5567010309278351
macro avg;0,5527252093514263;0,5569851253692005;0,5541187607645479;679,0
weighted avg;0,5532353578231997;0,5567010309278351;0,5542278444862431;679,0
