;precision;recall;f1-score;support
art;0,4666666666666667;0,49;0,47804878048780486;100,0
gaming;0,47474747474747475;0,5164835164835165;0,49473684210526314;91,0
memberships;0,42857142857142855;0,4158415841584158;0,4221105527638191;101,0
music;0,6666666666666666;0,6382978723404256;0,6521739130434782;94,0
pfps;0,6979166666666666;0,67;0,6836734693877551;100,0
photography;0,7446808510638298;0,7142857142857143;0,7291666666666666;98,0
virtual-worlds;0,41237113402061853;0,42105263157894735;0,41666666666666663;95,0
accuracy;0,5522827687776142;0,5522827687776142;0,5522827687776142;0,5522827687776142
macro avg;0,5559458412004787;0,5522801884067171;0,5537966987316362;679,0
weighted avg;0,5563574604181863;0,5522827687776142;0,5540095109588133;679,0
