;precision;recall;f1-score;support
art;0,56;0,56;0,56;100,0
gaming;0,40425531914893614;0,4175824175824176;0,4108108108108108;91,0
memberships;0,4537037037037037;0,48514851485148514;0,4688995215311005;101,0
music;0,7191011235955056;0,6808510638297872;0,6994535519125683;94,0
pfps;0,6354166666666666;0,61;0,6224489795918368;100,0
photography;0,6458333333333334;0,6326530612244898;0,6391752577319587;98,0
virtual-worlds;0,3958333333333333;0,4;0,39790575916230364;95,0
accuracy;0,5419734904270986;0,5419734904270986;0,5419734904270986;0,5419734904270986
macro avg;0,5448776399687827;0,5408907224983114;0,5426705543915114;679,0
weighted avg;0,5458679141894033;0,5419734904270986;0,5437060230862163;679,0
