;precision;recall;f1-score;support
art;0,4752475247524752;0,48;0,47761194029850745;100,0
gaming;0,4166666666666667;0,43956043956043955;0,42780748663101603;91,0
memberships;0,43;0,42574257425742573;0,42786069651741293;101,0
music;0,6039603960396039;0,648936170212766;0,6256410256410256;94,0
pfps;0,5978260869565217;0,55;0,5729166666666666;100,0
photography;0,6703296703296703;0,6224489795918368;0,6455026455026455;98,0
virtual-worlds;0,3979591836734694;0,4105263157894737;0,4041450777202072;95,0
accuracy;0,5110456553755522;0,5110456553755522;0,5110456553755522;0,5110456553755522
macro avg;0,5131413612026295;0,5110306399159916;0,5116407912824974;679,0
weighted avg;0,513880316946357;0,5110456553755522;0,512018513079726;679,0
