;precision;recall;f1-score;support
art;0,48148148148148145;0,52;0,5;100,0
gaming;0,4880952380952381;0,45054945054945056;0,4685714285714285;91,0
memberships;0,39814814814814814;0,42574257425742573;0,4114832535885168;101,0
music;0,6346153846153846;0,7021276595744681;0,6666666666666666;94,0
pfps;0,717391304347826;0,66;0,6875;100,0
photography;0,651685393258427;0,5918367346938775;0,6203208556149733;98,0
virtual-worlds;0,425531914893617;0,42105263157894735;0,4232804232804233;95,0
accuracy;0,5390279823269514;0,5390279823269514;0,5390279823269514;0,5390279823269514
macro avg;0,5424212664057319;0,5387584358077385;0,5396889468174297;679,0
weighted avg;0,5426530998831016;0,5390279823269514;0,5399404408556913;679,0
