;precision;recall;f1-score;support
art;0,42574257425742573;0,43;0,42786069651741293;100,0
gaming;0,3780487804878049;0,34065934065934067;0,35838150289017345;91,0
memberships;0,41509433962264153;0,43564356435643564;0,42512077294685985;101,0
music;0,6947368421052632;0,7021276595744681;0,6984126984126984;94,0
pfps;0,6213592233009708;0,64;0,6305418719211823;100,0
photography;0,6296296296296297;0,6938775510204082;0,6601941747572815;98,0
virtual-worlds;0,47619047619047616;0,42105263157894735;0,44692737430167595;95,0
accuracy;0,524300441826215;0,524300441826215;0,524300441826215;0,524300441826215
macro avg;0,5201145522277446;0,5233372495985142;0,5210627273924692;679,0
weighted avg;0,5203007498995735;0,524300441826215;0,521646678954587;679,0
