;precision;recall;f1-score;support
art;0,5057471264367817;0,44;0,4705882352941177;100,0
gaming;0,4639175257731959;0,4945054945054945;0,4787234042553192;91,0
memberships;0,4111111111111111;0,36633663366336633;0,387434554973822;101,0
music;0,6057692307692307;0,6702127659574468;0,6363636363636364;94,0
pfps;0,7254901960784313;0,74;0,7326732673267328;100,0
photography;0,6428571428571429;0,6428571428571429;0,6428571428571429;98,0
virtual-worlds;0,5247524752475248;0,5578947368421052;0,5408163265306122;95,0
accuracy;0,5581737849779087;0,5581737849779087;0,5581737849779087;0,5581737849779087
macro avg;0,5542349726104884;0,5588295391179365;0,5556366525144834;679,0
weighted avg;0,5547220061265492;0,5581737849779087;0,5555472797352946;679,0
