;precision;recall;f1-score;support
art;0,45794392523364486;0,49;0,4734299516908213;100,0
gaming;0,5104166666666666;0,5384615384615384;0,5240641711229946;91,0
memberships;0,40217391304347827;0,36633663366336633;0,383419689119171;101,0
music;0,6224489795918368;0,648936170212766;0,6354166666666666;94,0
pfps;0,6774193548387096;0,63;0,6528497409326425;100,0
photography;0,6082474226804123;0,6020408163265306;0,6051282051282051;98,0
virtual-worlds;0,3645833333333333;0,3684210526315789;0,36649214659685864;95,0
accuracy;0,5198821796759941;0,5198821796759941;0,5198821796759941;0,5198821796759941
macro avg;0,5204619421982974;0,52059945875654;0,5201143673224801;679,0
weighted avg;0,5204089514908293;0,5198821796759941;0,5197226540964763;679,0
