;precision;recall;f1-score;support
art;0,4423076923076923;0,46;0,4509803921568628;100,0
gaming;0,4523809523809524;0,4175824175824176;0,4342857142857143;91,0
memberships;0,41228070175438597;0,46534653465346537;0,4372093023255814;101,0
music;0,7065217391304348;0,6914893617021277;0,6989247311827957;94,0
pfps;0,6224489795918368;0,61;0,6161616161616161;100,0
photography;0,65;0,6632653061224489;0,6565656565656566;98,0
virtual-worlds;0,4367816091954023;0,4;0,4175824175824176;95,0
accuracy;0,5301914580265096;0,5301914580265096;0,5301914580265096;0,5301914580265096
macro avg;0,5318173820515292;0,5296690885800657;0,5302442614658064;679,0
weighted avg;0,5315021812748698;0,5301914580265096;0,5303461400761097;679,0
