;precision;recall;f1-score;support
art;0,5;0,46;0,4791666666666667;100,0
gaming;0,47368421052631576;0,3956043956043956;0,43113772455089816;91,0
memberships;0,40707964601769914;0,45544554455445546;0,42990654205607476;101,0
music;0,6213592233009708;0,6808510638297872;0,649746192893401;94,0
pfps;0,6363636363636364;0,63;0,6331658291457286;100,0
photography;0,7040816326530612;0,7040816326530612;0,7040816326530612;98,0
virtual-worlds;0,41836734693877553;0,43157894736842106;0,4248704663212436;95,0
accuracy;0,5375552282768777;0,5375552282768777;0,5375552282768777;0,5375552282768777
macro avg;0,5372765279714942;0,5367945120014458;0,5360107220410106;679,0
weighted avg;0,5375689778962016;0,5375552282768777;0,5365628566944517;679,0
