;precision;recall;f1-score;support
art;0,48936170212765956;0,46;0,4742268041237113;100,0
gaming;0,3953488372093023;0,37362637362637363;0,38418079096045193;91,0
memberships;0,39622641509433965;0,4158415841584158;0,4057971014492754;101,0
music;0,68;0,723404255319149;0,7010309278350516;94,0
pfps;0,6236559139784946;0,58;0,6010362694300518;100,0
photography;0,6565656565656566;0,6632653061224489;0,6598984771573604;98,0
virtual-worlds;0,42574257425742573;0,45263157894736844;0,4387755102040816;95,0
accuracy;0,524300441826215;0,524300441826215;0,524300441826215;0,524300441826215
macro avg;0,5238430141761256;0,5241098711676794;0,5235636973085691;679,0
weighted avg;0,5243097976716938;0,524300441826215;0,5238923387723978;679,0
