;precision;recall;f1-score;support
art;0,42424242424242425;0,42;0,42211055276381915;100,0
gaming;0,4878048780487805;0,43956043956043955;0,4624277456647399;91,0
memberships;0,42857142857142855;0,44554455445544555;0,4368932038834951;101,0
music;0,7209302325581395;0,6595744680851063;0,6888888888888888;94,0
pfps;0,776595744680851;0,73;0,7525773195876287;100,0
photography;0,69;0,7040816326530612;0,6969696969696969;98,0
virtual-worlds;0,4424778761061947;0,5263157894736842;0,4807692307692308;95,0
accuracy;0,561119293078056;0,561119293078056;0,561119293078056;0,561119293078056
macro avg;0,5672317977439741;0,5607252691753909;0,5629480912182142;679,0
weighted avg;0,5672792565110965;0,561119293078056;0,5631923246900322;679,0
