;precision;recall;f1-score;support
art;0,3944954128440367;0,43;0,4114832535885168;100,0
gaming;0,3493975903614458;0,31868131868131866;0,3333333333333333;91,0
memberships;0,42;0,4158415841584158;0,417910447761194;101,0
music;0,6666666666666666;0,7021276595744681;0,6839378238341969;94,0
pfps;0,5913978494623656;0,55;0,5699481865284974;100,0
photography;0,6373626373626373;0,5918367346938775;0,6137566137566137;98,0
virtual-worlds;0,3269230769230769;0,35789473684210527;0,3417085427135679;95,0
accuracy;0,48159057437407954;0,48159057437407954;0,48159057437407954;0,48159057437407954
macro avg;0,4837490333743184;0,48091171913574077;0,48172545735941724;679,0
weighted avg;0,48452195049989577;0,48159057437407954;0,4824536785202753;679,0
