;precision;recall;f1-score;support
art;0,48936170212765956;0,46;0,4742268041237113;100,0
gaming;0,47;0,5164835164835165;0,49214659685863876;91,0
memberships;0,3617021276595745;0,33663366336633666;0,34871794871794876;101,0
music;0,6404494382022472;0,6063829787234043;0,6229508196721312;94,0
pfps;0,6796116504854369;0,7;0,6896551724137931;100,0
photography;0,6195652173913043;0,5816326530612245;0,6;98,0
virtual-worlds;0,38317757009345793;0,43157894736842106;0,40594059405940597;95,0
accuracy;0,5184094256259205;0,5184094256259205;0,5184094256259205;0,5184094256259205
macro avg;0,5205525294228115;0,5189588227147005;0,5190911336922327;679,0
weighted avg;0,5206491278485482;0,5184094256259205;0,5188744981932596;679,0
