;precision;recall;f1-score;support
art;0,46236559139784944;0,43;0,44559585492227977;100,0
gaming;0,6063829787234043;0,6263736263736264;0,6162162162162163;91,0
memberships;0,48672566371681414;0,5445544554455446;0,514018691588785;101,0
music;0,7666666666666667;0,7340425531914894;0,75;94,0
pfps;0,5473684210526316;0,52;0,5333333333333334;100,0
photography;0,7526881720430108;0,7142857142857143;0,7329842931937173;98,0
virtual-worlds;0,4752475247524752;0,5052631578947369;0,4897959183673469;95,0
accuracy;0,5802650957290133;0,5802650957290133;0,5802650957290133;0,5802650957290133
macro avg;0,5853492883361218;0,582074215313016;0,5831349010888112;679,0
weighted avg;0,5836408935532298;0,5802650957290133;0,5813660608683159;679,0
