;precision;recall;f1-score;support
art;0,5978260869565217;0,55;0,5729166666666666;100,0
gaming;0,49523809523809526;0,5714285714285714;0,5306122448979591;91,0
memberships;0,5283018867924528;0,5544554455445545;0,5410628019323672;101,0
music;0,8;0,7659574468085106;0,7826086956521738;94,0
pfps;0,5638297872340425;0,53;0,5463917525773196;100,0
photography;0,7578947368421053;0,7346938775510204;0,7461139896373057;98,0
virtual-worlds;0,6597938144329897;0,6736842105263158;0,6666666666666666;95,0
accuracy;0,6244477172312224;0,6244477172312224;0,6244477172312224;0,6244477172312224
macro avg;0,6289834867851726;0,6257456502655676;0,6266246882900656;679,0
weighted avg;0,6284901932745526;0,6244477172312224;0,6257461280034986;679,0
