;precision;recall;f1-score;support
art;0,5445544554455446;0,55;0,5472636815920399;100,0
gaming;0,48863636363636365;0,4725274725274725;0,48044692737430167;91,0
memberships;0,5350877192982456;0,6039603960396039;0,5674418604651162;101,0
music;0,8444444444444444;0,8085106382978723;0,8260869565217391;94,0
pfps;0,5102040816326531;0,5;0,5050505050505051;100,0
photography;0,8021978021978022;0,7448979591836735;0,7724867724867726;98,0
virtual-worlds;0,6185567010309279;0,631578947368421;0,625;95,0
accuracy;0,6156111929307806;0,6156111929307806;0,6156111929307806;0,6156111929307806
macro avg;0,6205259382408546;0,6159250590595776;0,617682386212925;679,0
weighted avg;0,6196490006464688;0,6156111929307806;0,6170759861252428;679,0
