;precision;recall;f1-score;support
art;0,46938775510204084;0,46;0,46464646464646464;100,0
gaming;0,5978260869565217;0,6043956043956044;0,6010928961748634;91,0
memberships;0,5495495495495496;0,6039603960396039;0,5754716981132076;101,0
music;0,7204301075268817;0,7127659574468085;0,7165775401069518;94,0
pfps;0,5434782608695652;0,5;0,5208333333333334;100,0
photography;0,7582417582417582;0,7040816326530612;0,7301587301587302;98,0
virtual-worlds;0,5098039215686274;0,5473684210526316;0,5279187817258884;95,0
accuracy;0,5891016200294551;0,5891016200294551;0,5891016200294551;0,5891016200294551
macro avg;0,5926739199735636;0,5903674302268157;0,5909570634656343;679,0
weighted avg;0,5915357510735603;0,5891016200294551;0,5897440404254709;679,0
