;precision;recall;f1-score;support
art;0,4215686274509804;0,43;0,42574257425742573;100,0
gaming;0,6625;0,5824175824175825;0,6198830409356725;91,0
memberships;0,48760330578512395;0,5841584158415841;0,5315315315315314;101,0
music;0,8023255813953488;0,7340425531914894;0,7666666666666667;94,0
pfps;0,5151515151515151;0,51;0,5125628140703518;100,0
photography;0,782608695652174;0,7346938775510204;0,7578947368421053;98,0
virtual-worlds;0,5757575757575758;0,6;0,5876288659793815;95,0
accuracy;0,5949926362297496;0,5949926362297496;0,5949926362297496;0,5949926362297496
macro avg;0,6067879001703883;0,5964732041430966;0,6002728900404479;679,0
weighted avg;0,6038566637210494;0,5949926362297496;0,5980702111750263;679,0
