;precision;recall;f1-score;support
art;0,5353535353535354;0,53;0,5326633165829145;100,0
gaming;0,4946236559139785;0,5054945054945055;0,5;91,0
memberships;0,5267857142857143;0,5841584158415841;0,5539906103286385;101,0
music;0,8064516129032258;0,7978723404255319;0,8021390374331551;94,0
pfps;0,5510204081632653;0,54;0,5454545454545455;100,0
photography;0,8043478260869565;0,7551020408163265;0,7789473684210526;98,0
virtual-worlds;0,6195652173913043;0,6;0,6096256684491979;95,0
accuracy;0,6156111929307806;0,6156111929307806;0,6156111929307806;0,6156111929307806
macro avg;0,6197354242997114;0,6160896146539925;0,6175457923813576;679,0
weighted avg;0,6190644159120886;0,6156111929307806;0,616961985233567;679,0
