;precision;recall;f1-score;support
art;0,46153846153846156;0,42;0,4397905759162304;100,0
gaming;0,5913978494623656;0,6043956043956044;0,5978260869565217;91,0
memberships;0,47413793103448276;0,5445544554455446;0,5069124423963134;101,0
music;0,7692307692307693;0,7446808510638298;0,7567567567567567;94,0
pfps;0,53125;0,51;0,5204081632653061;100,0
photography;0,7526881720430108;0,7142857142857143;0,7329842931937173;98,0
virtual-worlds;0,48484848484848486;0,5052631578947369;0,4948453608247423;95,0
accuracy;0,5758468335787923;0,5758468335787923;0,5758468335787923;0,5758468335787923
macro avg;0,5807273811653678;0,5775971118693471;0,5785033827585125;679,0
weighted avg;0,5789627698349302;0,5758468335787923;0,5767277020024959;679,0
