;precision;recall;f1-score;support
art;0,44660194174757284;0,46;0,45320197044334976;100,0
gaming;0,6344086021505376;0,6483516483516484;0,641304347826087;91,0
memberships;0,49557522123893805;0,5544554455445545;0,5233644859813085;101,0
music;0,8160919540229885;0,7553191489361702;0,7845303867403314;94,0
pfps;0,59375;0,57;0,5816326530612245;100,0
photography;0,7684210526315789;0,7448979591836735;0,7564766839378239;98,0
virtual-worlds;0,5217391304347826;0,5052631578947369;0,5133689839572193;95,0
accuracy;0,6038291605301914;0,6038291605301914;0,6038291605301914;0,6038291605301914
macro avg;0,6109411288894855;0,6054696228443976;0,6076970731353349;679,0
weighted avg;0,6088403513150942;0,6038291605301914;0,6058212016821461;679,0
