;precision;recall;f1-score;support
art;0,5151515151515151;0,51;0,5125628140703518;100,0
gaming;0,6210526315789474;0,6483516483516484;0,6344086021505377;91,0
memberships;0,5495495495495496;0,6039603960396039;0,5754716981132076;101,0
music;0,8068181818181818;0,7553191489361702;0,7802197802197802;94,0
pfps;0,5833333333333334;0,56;0,5714285714285714;100,0
photography;0,7978723404255319;0,7653061224489796;0,7812500000000001;98,0
virtual-worlds;0,5208333333333334;0,5263157894736842;0,5235602094240838;95,0
accuracy;0,6229749631811488;0,6229749631811488;0,6229749631811488;0,6229749631811488
macro avg;0,6278015550271989;0,6241790150357266;0,6255573822009332;679,0
weighted avg;0,626480624368117;0,6229749631811488;0,6242921091177799;679,0
