;precision;recall;f1-score;support
art;0,5247524752475248;0,53;0,527363184079602;100,0
gaming;0,5164835164835165;0,5164835164835165;0,5164835164835165;91,0
memberships;0,4954954954954955;0,5445544554455446;0,5188679245283019;101,0
music;0,8314606741573034;0,7872340425531915;0,808743169398907;94,0
pfps;0,4953271028037383;0,53;0,5120772946859904;100,0
photography;0,8333333333333334;0,7142857142857143;0,7692307692307692;98,0
virtual-worlds;0,5729166666666666;0,5789473684210527;0,5759162303664922;95,0
accuracy;0,5994108983799705;0,5994108983799705;0,5994108983799705;0,5994108983799705
macro avg;0,6099670377410826;0,6002150138841458;0,6040974412533684;679,0
weighted avg;0,6086952227112783;0,5994108983799705;0,6030459844578014;679,0
