;precision;recall;f1-score;support
art;0,42857142857142855;0,45;0,4390243902439024;100,0
gaming;0,6395348837209303;0,6043956043956044;0,6214689265536724;91,0
memberships;0,5083333333333333;0,6039603960396039;0,5520361990950226;101,0
music;0,8214285714285714;0,7340425531914894;0,7752808988764044;94,0
pfps;0,5913978494623656;0,55;0,5699481865284974;100,0
photography;0,8043478260869565;0,7551020408163265;0,7789473684210526;98,0
virtual-worlds;0,5757575757575758;0,6;0,5876288659793815;95,0
accuracy;0,6126656848306333;0,6126656848306333;0,6126656848306333;0,6126656848306333
macro avg;0,6241959240515945;0,6139286563490033;0,6177621193854189;679,0
weighted avg;0,621905171217125;0,6126656848306333;0,615971391708259;679,0
