;precision;recall;f1-score;support
art;0,5333333333333333;0,56;0,5463414634146342;100,0
gaming;0,4536082474226804;0,4835164835164835;0,46808510638297873;91,0
memberships;0,5454545454545454;0,594059405940594;0,5687203791469194;101,0
music;0,8191489361702128;0,8191489361702128;0,8191489361702128;94,0
pfps;0,5567010309278351;0,54;0,5482233502538071;100,0
photography;0,8505747126436781;0,7551020408163265;0,7999999999999999;98,0
virtual-worlds;0,651685393258427;0,6105263157894737;0,6304347826086958;95,0
accuracy;0,6229749631811488;0,6229749631811488;0,6229749631811488;0,6229749631811488
macro avg;0,630072314172959;0,6231933117475844;0,6258505739967496;679,0
weighted avg;0,6298072610178511;0,6229749631811488;0,6256027815749045;679,0
