;precision;recall;f1-score;support
art;0,5869565217391305;0,54;0,5625000000000001;100,0
gaming;0,5384615384615384;0,6153846153846154;0,5743589743589744;91,0
memberships;0,5980392156862745;0,6039603960396039;0,6009852216748768;101,0
music;0,7934782608695652;0,776595744680851;0,7849462365591399;94,0
pfps;0,5555555555555556;0,55;0,5527638190954774;100,0
photography;0,776595744680851;0,7448979591836735;0,7604166666666667;98,0
virtual-worlds;0,6875;0,6947368421052632;0,6910994764397906;95,0
accuracy;0,6450662739322534;0,6450662739322534;0,6450662739322534;0,6450662739322534
macro avg;0,6480838338561308;0,6465107939134297;0,6467243421135608;679,0
weighted avg;0,647509584704337;0,6450662739322534;0,645733116048674;679,0
