;precision;recall;f1-score;support
art;0,5510204081632653;0,54;0,5454545454545455;100,0
gaming;0,6122448979591837;0,6593406593406593;0,6349206349206349;91,0
memberships;0,5470085470085471;0,6336633663366337;0,5871559633027523;101,0
music;0,8160919540229885;0,7553191489361702;0,7845303867403314;94,0
pfps;0,6111111111111112;0,55;0,5789473684210527;100,0
photography;0,7872340425531915;0,7551020408163265;0,7708333333333333;98,0
virtual-worlds;0,5157894736842106;0,5157894736842106;0,5157894736842106;95,0
accuracy;0,6288659793814433;0,6288659793814433;0,6288659793814433;0,6288659793814433
macro avg;0,6343572049289283;0,6298878127305715;0,6310902436938373;679,0
weighted avg;0,6333385577878649;0,6288659793814433;0,6300563247115956;679,0
