;precision;recall;f1-score;support
art;0,4230769230769231;0,44;0,4313725490196078;100,0
gaming;0,6153846153846154;0,6153846153846154;0,6153846153846154;91,0
memberships;0,5087719298245614;0,5742574257425742;0,5395348837209303;101,0
music;0,7666666666666667;0,7340425531914894;0,75;94,0
pfps;0,5806451612903226;0,54;0,5595854922279794;100,0
photography;0,8192771084337349;0,6938775510204082;0,7513812154696133;98,0
virtual-worlds;0,5384615384615384;0,5894736842105263;0,5628140703517588;95,0
accuracy;0,5964653902798233;0,5964653902798233;0,5964653902798233;0,5964653902798233
macro avg;0,6074691347340517;0,5981479756499447;0,6014389751677864;679,0
weighted avg;0,6056963811428927;0,5964653902798233;0,5996929649190161;679,0
