;precision;recall;f1-score;support
art;0,47115384615384615;0,49;0,4803921568627451;100,0
gaming;0,6477272727272727;0,6263736263736264;0,6368715083798883;91,0
memberships;0,5338983050847458;0,6237623762376238;0,5753424657534246;101,0
music;0,8192771084337349;0,723404255319149;0,768361581920904;94,0
pfps;0,5510204081632653;0,54;0,5454545454545455;100,0
photography;0,7931034482758621;0,7040816326530612;0,7459459459459459;98,0
virtual-worlds;0,5247524752475248;0,5578947368421052;0,5408163265306122;95,0
accuracy;0,6082474226804123;0,6082474226804123;0,6082474226804123;0,6082474226804123
macro avg;0,620133266298036;0,6093595182036522;0,6133120758354379;679,0
weighted avg;0,6180736485062926;0,6082474226804123;0,6117169498660834;679,0
