;precision;recall;f1-score;support
art;0,782051282051282;0,61;0,6853932584269663;100,0
gaming;0,6262626262626263;0,6813186813186813;0,6526315789473685;91,0
memberships;0,6636363636363637;0,7227722772277227;0,6919431279620852;101,0
music;0,8837209302325582;0,8085106382978723;0,8444444444444444;94,0
pfps;0,6854838709677419;0,85;0,7589285714285714;100,0
photography;0,8557692307692307;0,9081632653061225;0,8811881188118811;98,0
virtual-worlds;0,782051282051282;0,6421052631578947;0,7052023121387283;95,0
accuracy;0,7466863033873343;0,7466863033873343;0,7466863033873343;0,7466863033873343
macro avg;0,7541393694244407;0,7461243036154706;0,7456759160228635;679,0
weighted avg;0,7540511205761281;0,7466863033873343;0,7458561791877116;679,0
