;precision;recall;f1-score;support
art;0,7837837837837838;0,58;0,6666666666666666;100,0
gaming;0,6511627906976745;0,6153846153846154;0,632768361581921;91,0
memberships;0,6666666666666666;0,693069306930693;0,6796116504854368;101,0
music;0,9418604651162791;0,8617021276595744;0,8999999999999999;94,0
pfps;0,6785714285714286;0,95;0,7916666666666667;100,0
photography;0,8504672897196262;0,9285714285714286;0,8878048780487805;98,0
virtual-worlds;0,7654320987654321;0,6526315789473685;0,7045454545454545;95,0
accuracy;0,7555228276877761;0,7555228276877761;0,7555228276877761;0,7555228276877761
macro avg;0,7625635033315559;0,75447986535624;0,7518662397135608;679,0
weighted avg;0,7620344565810199;0,7555228276877761;0,7519775068732193;679,0
