;precision;recall;f1-score;support
art;0,7605633802816901;0,54;0,6315789473684211;100,0
gaming;0,6464646464646465;0,7032967032967034;0,6736842105263158;91,0
memberships;0,5826086956521739;0,6633663366336634;0,6203703703703705;101,0
music;0,8555555555555555;0,8191489361702128;0,8369565217391304;94,0
pfps;0,6923076923076923;0,9;0,7826086956521738;100,0
photography;0,8556701030927835;0,8469387755102041;0,8512820512820514;98,0
virtual-worlds;0,7272727272727273;0,5894736842105263;0,6511627906976745;95,0
accuracy;0,7231222385861561;0,7231222385861561;0,7231222385861561;0,7231222385861561
macro avg;0,7314918286610385;0,7231749194030443;0,7210919410908767;679,0
weighted avg;0,7309685858090055;0,7231222385861561;0,7206796083251252;679,0
