;precision;recall;f1-score;support
art;0,7160493827160493;0,58;0,6408839779005524;100,0
gaming;0,6274509803921569;0,7032967032967034;0,6632124352331606;91,0
memberships;0,6494845360824743;0,6237623762376238;0,6363636363636364;101,0
music;0,8297872340425532;0,8297872340425532;0,8297872340425532;94,0
pfps;0,6611570247933884;0,8;0,7239819004524887;100,0
photography;0,8383838383838383;0,8469387755102041;0,8426395939086294;98,0
virtual-worlds;0,6823529411764706;0,6105263157894737;0,6444444444444445;95,0
accuracy;0,7128129602356407;0,7128129602356407;0,7128129602356407;0,7128129602356407
macro avg;0,7149522767981331;0,7134730578395082;0,7116161746207806;679,0
weighted avg;0,7148774133789998;0,7128129602356407;0,7112114125766081;679,0
