;precision;recall;f1-score;support
art;0,7083333333333334;0,51;0,5930232558139535;100,0
gaming;0,6701030927835051;0,7142857142857143;0,6914893617021276;91,0
memberships;0,6396396396396397;0,7029702970297029;0,669811320754717;101,0
music;0,8837209302325582;0,8085106382978723;0,8444444444444444;94,0
pfps;0,6923076923076923;0,9;0,7826086956521738;100,0
photography;0,8380952380952381;0,8979591836734694;0,8669950738916257;98,0
virtual-worlds;0,6923076923076923;0,5684210526315789;0,6242774566473989;95,0
accuracy;0,7290132547864506;0,7290132547864506;0,7290132547864506;0,7290132547864506
macro avg;0,7320725169570942;0,7288781265597625;0,7246642298437774;679,0
weighted avg;0,7313982609063766;0,7290132547864506;0,7242847184954238;679,0
